LATITUDE,LONGITUDE
57.66076,-158.36124
59.31312,-164.65696
56.6781,-159.74242
58.63938,-162.69482
59.0116,-163.34469
58.28528,-159.977
58.29833,-162.05686
59.68257,-165.91306
59.33198,-165.35152
59.99086,-168.03233
57.65961,-159.02692
57.02103,-159.1238
57.64955,-158.35498
57.32085,-158.42136
58.66465,-162.70779
59.61499,-165.93063
57.01176,-160.33849
57.99322,-158.97341
58.29198,-159.97723
58.00087,-162.08716
56.98072,-159.15196
59.0073,-164.66338
58.00433,-158.31579
59.33708,-165.97879
60.01992,-168.01469
57.32052,-158.3823
57.66418,-159.0456
57.98912,-158.96512
59.31723,-165.30361
55.05802,-164.56774
59.33034,-172.51668
