LATITUDE,LONGITUDE
56.6483,-170.72413
55.31769,-164.04267
56.34279,-165.20336
56.35706,-163.97205
58.97713,-169.83822
57.01555,-160.33359
57.31732,-161.50487
58.3218,-165.28095
58.67924,-168.50355
58.67975,-162.71953
58.98162,-163.34131
58.98281,-167.22923
58.9831,-165.3052
59.3325,-170.52475
59.33258,-171.80527
57.98757,-161.43394
57.98757,-160.84411
58.3223,-169.72886
58.68155,-165.92569
58.68196,-171.08437
58.98581,-164.63887
59.33563,-171.19122
58.3224,-164.64029
58.68797,-169.15304
58.68942,-163.99462
58.98898,-167.87604
59.34245,-169.24224
59.34784,-168.57953
59.64832,-167.26599
56.97562,-159.14222
57.98922,-163.38046
58.32543,-163.3565
59.35179,-166.61571
59.35418,-164.01318
57.32491,-158.41335
57.32878,-163.37537
57.99365,-158.98267
58.9958,-165.95602
58.99599,-170.52005
56.64779,-162.77401
57.33951,-159.66563
57.64868,-163.35501
57.99927,-165.24259
58.00055,-159.5844
58.34214,-165.92797
58.99898,-166.60661
56.99129,-161.53084
57.34165,-162.15388
57.34202,-162.76593
57.65249,-161.47189
59.62742,-165.9272
57.34286,-164.01513
58.00897,-163.99884
58.23322,-161.55538
58.34419,-162.71306
58.34624,-163.9906
58.64792,-164.65091
58.65035,-169.78599
57.00606,-160.9405
57.65673,-159.02884
58.01148,-160.21068
58.34862,-166.55767
58.65286,-167.21233
59.00991,-171.78962
57.65743,-160.88293
58.01244,-162.11813
58.29341,-159.98004
58.35337,-159.56797
58.65362,-167.85825
59.0128,-168.54994
57.66076,-158.36124
58.01504,-165.90303
58.3567,-169.12391
58.65438,-163.34484
59.01296,-169.19065
59.30905,-165.95651
59.31184,-169.86797
59.31312,-164.65696
59.31548,-167.90268
59.49089,-172.85493
57.66752,-159.62596
58.31745,-162.04287
58.66268,-165.30461
59.01451,-164.00074
59.01578,-171.13643
59.31935,-165.32014
57.01088,-162.78702
57.67337,-162.74425
57.67389,-165.88237
58.02298,-162.74502
58.31945,-160.75267
59.32349,-172.48663
59.3243,-173.16511
57.67617,-162.12482
57.98209,-167.79551
58.67157,-166.55962
59.32819,-174.43954
57.67938,-160.24489
58.32117,-167.83637
59.33036,-167.20148
56.6781,-159.74242
57.31682,-159.09144
57.68094,-164.01908
57.9843,-158.34245
57.99749,-160.20786
57.99865,-162.09189
59.36103,-171.82786
59.3616,-166.57807
59.36955,-167.91747
56.32585,-163.41674
58.35439,-159.54403
58.99507,-167.18597
58.99714,-163.94994
60.96967,-171.50223
58.63938,-162.69482
59.64873,-169.26291
59.65049,-171.24547
60.00699,-170.64355
60.99358,-173.47755
56.34301,-160.99652
58.64493,-166.56085
59.00743,-165.89084
59.65052,-168.58127
59.65274,-167.27876
60.01311,-171.97353
60.99881,-172.12849
60.99912,-172.78222
61.00011,-174.12369
58.65252,-165.30153
59.01021,-167.90216
60.15264,-172.30175
58.01881,-165.90111
58.0218,-162.74605
58.66165,-163.35078
59.01057,-166.52951
60.15883,-172.99123
58.23423,-161.55358
58.28528,-159.977
59.66807,-166.59768
60.27746,-173.3771
60.32028,-171.32978
58.29833,-162.05686
59.67498,-167.92036
60.33194,-167.29916
61.65727,-173.65125
58.66953,-164.62158
59.30457,-169.23121
59.31443,-171.17011
59.68257,-165.91306
59.68294,-170.56483
60.33289,-172.03488
60.33318,-168.63098
58.31563,-163.39751
58.31868,-160.74562
58.67716,-165.93609
59.3175,-168.54783
60.33332,-169.99464
60.33342,-167.93915
61.98899,-175.14447
58.32236,-163.99159
59.31916,-164.02837
59.69036,-169.92325
61.99591,-173.71964
62.00034,-174.46578
57.9657,-163.36733
57.97429,-161.48793
58.32956,-165.26541
59.33198,-165.35152
59.82083,-172.28035
60.33395,-169.27978
57.97816,-164.00662
58.70139,-167.21608
59.97181,-169.32445
60.34406,-170.67145
60.64079,-171.40849
58.33812,-164.64099
59.33544,-170.53222
59.98284,-168.68258
59.99086,-168.03233
59.99317,-171.30207
57.98898,-160.83903
57.99639,-164.64873
58.35001,-165.91467
58.98569,-164.64651
59.34867,-169.855
59.997,-169.93033
60.67184,-172.14121
57.65961,-159.02692
57.65981,-164.61001
57.67653,-159.62787
57.32628,-159.67788
57.6861,-162.13556
57.339,-160.2917
57.67458,-160.25941
57.67523,-162.75278
61.97742,-173.72584
61.99975,-175.14519
57.64486,-163.36839
57.30759,-158.43212
57.65115,-160.88159
60.16601,-173.00184
60.9976,-172.13139
57.32085,-158.42136
57.67797,-165.24953
57.68146,-162.76629
57.98641,-164.00539
58.66275,-165.93449
58.66465,-162.70779
59.34489,-170.54374
59.82664,-172.26592
60.99869,-172.79548
57.32484,-163.38936
57.3252,-159.06668
57.6833,-162.12949
57.98759,-161.47647
58.66692,-166.55499
59.34575,-169.86421
60.3082,-173.38316
60.3134,-171.37794
57.00805,-164.59742
57.68752,-167.13117
57.98945,-166.5183
58.3461,-162.72035
60.31523,-168.68445
61.6493,-174.43194
57.32591,-161.54487
57.32646,-164.00303
57.99013,-158.3154
58.34877,-167.18452
58.97798,-166.58572
58.97979,-163.33881
59.65022,-168.61969
59.65148,-166.62566
59.97123,-168.6693
59.98769,-169.31261
60.33096,-169.99751
61.65299,-173.66948
59.36051,-167.26599
59.65252,-169.26313
59.99476,-172.60651
60.33246,-169.31556
60.33251,-170.62602
57.99174,-160.86125
58.67717,-169.79243
59.66454,-171.23274
61.31578,-173.57913
61.31744,-174.33065
57.65101,-166.50271
57.99322,-158.97341
58.29198,-159.97723
58.67822,-170.43428
58.98739,-168.52628
58.9906,-165.93324
59.99828,-171.33779
60.00137,-173.24702
60.33772,-167.24212
60.33873,-167.97276
59.66666,-171.87318
60.34756,-172.0643
57.34115,-162.75783
57.81445,-168.72489
58.00087,-162.08716
58.3179,-162.04378
58.68135,-165.2932
59.00338,-169.18725
60.01282,-170.59946
60.65147,-171.42433
56.67677,-159.72109
56.98072,-159.15196
57.34152,-164.62176
57.34284,-159.66922
57.65703,-163.39261
58.00438,-165.25668
58.00469,-159.66098
58.00647,-160.22813
58.3193,-160.74484
58.32038,-163.3598
58.68384,-167.18453
59.67568,-169.94092
59.67952,-167.95506
60.01318,-171.98205
60.01539,-169.94568
57.34658,-165.23004
57.65801,-161.51328
58.00725,-169.03571
58.32166,-168.46385
58.32255,-165.9087
58.68959,-164.01307
59.00524,-163.97883
59.0073,-164.66338
59.30613,-166.59569
59.31459,-168.57235
59.68387,-170.60782
60.65755,-173.46451
56.98881,-164.0341
57.66152,-159.01978
58.01082,-167.16097
58.32359,-169.74927
59.01041,-167.90951
59.31584,-164.01178
60.02923,-167.99236
60.66721,-172.12779
60.67095,-172.76004
57.66293,-159.64901
58.01239,-164.61759
58.32382,-166.54319
58.64916,-168.49624
59.0105,-169.83385
59.32252,-171.15121
57.66892,-164.62179
58.01696,-162.75418
58.32778,-164.01279
58.65443,-169.15443
58.65728,-163.36075
59.01258,-170.48169
59.32308,-169.24156
58.33031,-164.62501
58.33359,-169.14533
59.33375,-167.92113
60.1536,-172.30686
60.97527,-171.48083
60.98194,-174.17791
60.98635,-173.49729
57.67621,-160.27017
58.33729,-165.28984
58.33732,-161.41009
58.66145,-164.63296
59.02246,-167.24128
59.02462,-165.30053
59.3378,-165.30185
61.00056,-172.11071
61.0006,-174.15233
61.31783,-173.58192
61.34343,-174.33326
61.65301,-173.66185
61.66522,-174.47323
61.66555,-175.79644
60.63938,-171.43242
60.64473,-172.71795
61.99854,-174.48651
61.99956,-173.69897
60.66796,-175.42856
60.68412,-172.11578
60.96583,-171.4938
60.98435,-172.79865
60.994,-173.46778
59.6448,-169.26841
60.32428,-172.05748
57.99614,-164.62328
58.33143,-164.61882
59.33171,-169.23904
59.97842,-171.94344
59.9826,-170.63562
60.32709,-171.31289
60.3277,-174.08209
60.33404,-169.99049
57.99794,-165.89732
57.9995,-160.8396
58.33423,-166.55549
58.98438,-171.77906
59.64971,-165.96361
59.98487,-169.32033
59.98689,-173.92622
58.00535,-165.27337
58.64714,-165.92407
59.6515,-171.89753
57.68723,-160.8823
58.34257,-165.90159
58.34659,-163.99598
58.98996,-164.6384
58.99097,-169.17231
58.9937,-163.39404
59.34325,-168.5791
59.65239,-175.13579
59.65537,-167.27271
59.6575,-173.25711
58.01361,-163.33655
58.65249,-162.69363
59.34383,-169.8739
59.65968,-168.63604
56.98209,-159.68229
58.34983,-165.27875
58.65284,-163.33058
59.35021,-163.99577
59.35141,-167.91066
59.66774,-173.84408
59.66815,-166.59551
60.01491,-168.64736
60.34717,-168.6528
59.67063,-172.53383
59.67681,-167.97124
60.01992,-168.01469
57.30755,-159.07616
58.2183,-161.54875
58.65915,-166.55525
58.65998,-165.32301
59.00045,-167.87029
59.67801,-175.87676
59.68197,-169.92464
60.02011,-169.96849
60.13342,-173.77028
57.96511,-161.51197
57.97504,-160.22958
58.26775,-159.95604
58.664,-164.03442
60.15674,-174.34879
60.1632,-172.99322
55.66121,-166.38061
57.3211,-160.3032
57.97564,-162.74667
58.28484,-160.79343
58.66585,-167.89282
59.00996,-168.53016
60.17612,-172.30696
58.30485,-163.35426
59.0133,-163.99359
59.01664,-165.91835
59.51067,-172.86026
57.9864,-164.0301
59.8172,-172.95699
59.84253,-173.56931
57.67081,-163.35056
