LATITUDE,LONGITUDE
56.32863,-167.64435
55.99014,-164.02248
55.99117,-165.78971
55.99841,-162.79884
56.64505,-165.84809
55.99964,-167.6107
56.33449,-160.98767
56.00813,-164.58711
56.01173,-166.39879
56.33609,-170.02539
56.01334,-167.00691
56.01615,-163.3619
54.9833,-165.74243
55.31764,-165.77216
55.63615,-165.19586
55.31822,-166.95165
55.65918,-167.58412
56.34176,-164.57916
56.34279,-165.20336
54.9971,-166.30324
54.99777,-166.92688
55.31863,-165.16771
55.32341,-167.51892
55.66605,-166.38382
55.35139,-166.34169
55.6671,-165.78742
56.35706,-163.97205
55.68222,-162.83799
55.68405,-166.99097
57.31682,-159.09144
56.97562,-159.14222
57.32409,-160.92728
56.98343,-164.60659
56.64779,-162.77401
57.34202,-162.76593
56.65174,-168.28141
57.00945,-159.72035
57.34999,-160.30041
57.66076,-158.36124
56.66138,-160.97423
56.67134,-160.36061
57.31193,-165.21561
56.6781,-159.74242
57.68094,-164.01908
55.67969,-162.81077
55.99277,-167.61739
56.32332,-167.64818
54.99659,-166.92508
55.99596,-163.3968
56.00239,-164.56741
54.99908,-166.30247
56.34301,-160.99652
55.32225,-166.9658
56.00575,-166.40105
56.0298,-165.7764
56.34426,-167.04136
55.32572,-167.53677
56.32903,-161.60339
61.32252,-173.58095
55.33254,-166.34637
56.3347,-166.42911
58.28528,-159.977
55.34785,-163.42662
55.63985,-165.18867
55.65953,-167.59929
55.66171,-166.98173
57.98287,-158.30857
55.67248,-163.39825
57.98631,-158.97425
55.67307,-166.38873
55.67852,-165.79681
55.99055,-167.00436
56.35492,-167.66153
57.65961,-159.02692
55.65804,-166.38002
57.32274,-159.0649
55.66236,-166.9905
56.65139,-167.06676
56.99241,-168.98227
55.67886,-165.79741
55.67966,-167.58904
55.68453,-168.1898
55.69396,-165.18858
55.98262,-167.0048
56.6608,-164.63555
55.98577,-166.39225
55.98848,-164.03812
56.66425,-170.73395
56.67732,-168.28366
56.02294,-167.61179
57.3573,-165.25073
56.32151,-166.41396
56.32214,-167.01733
57.02103,-159.1238
54.99141,-166.92509
56.69582,-167.66551
55.02399,-166.33156
56.33421,-161.533
57.30759,-158.43212
55.31088,-165.78244
55.32112,-166.96354
56.33424,-162.79388
56.33454,-160.9655
57.64955,-158.35498
56.33521,-168.20031
55.33466,-166.34375
55.35155,-167.56567
57.00805,-164.59742
57.99987,-165.90286
57.34966,-160.29121
55.30596,-165.78965
55.32109,-166.3506
55.33631,-167.57479
55.34528,-166.97283
56.64398,-167.07443
55.98868,-167.0107
55.99019,-166.39019
56.32133,-164.55633
56.64691,-161.01462
55.99116,-164.05893
56.32202,-167.04672
56.3237,-166.4077
58.02,-159.61411
56.00055,-167.62547
56.33056,-162.22099
56.00578,-164.58206
56.33235,-168.19087
58.2183,-161.54875
59.67801,-175.87676
55.6461,-166.98585
56.00863,-165.17626
56.01141,-165.78898
56.33344,-163.41849
56.66059,-168.90882
57.32001,-161.5318
55.65956,-165.80587
55.66055,-164.58028
55.66121,-166.38061
55.66384,-168.19127
55.66608,-167.56132
56.34087,-165.19722
57.3211,-160.3032
55.67357,-165.17428
56.3431,-165.7938
55.01531,-166.31113
56.35369,-167.65549
55.68883,-163.98502
56.35922,-162.79596
57.67363,-162.12356
59.68294,-170.56483
60.33289,-172.03488
60.33318,-168.63098
58.31563,-163.39751
58.31868,-160.74562
58.67716,-165.93609
59.3175,-168.54783
60.33332,-169.99464
60.33342,-167.93915
61.98899,-175.14447
58.32236,-163.99159
59.31916,-164.02837
59.69036,-169.92325
61.99591,-173.71964
62.00034,-174.46578
57.9657,-163.36733
57.97429,-161.48793
58.32956,-165.26541
59.33198,-165.35152
59.82083,-172.28035
60.33395,-169.27978
57.97816,-164.00662
58.70139,-167.21608
59.97181,-169.32445
60.34406,-170.67145
60.64079,-171.40849
58.33812,-164.64099
59.33544,-170.53222
59.98284,-168.68258
59.99086,-168.03233
59.99317,-171.30207
57.98898,-160.83903
57.99639,-164.64873
58.35001,-165.91467
58.98569,-164.64651
59.34867,-169.855
59.997,-169.93033
60.67184,-172.14121
57.65961,-159.02692
57.65981,-164.61001
57.67653,-159.62787
57.32628,-159.67788
57.6861,-162.13556
57.339,-160.2917
57.67458,-160.25941
57.67523,-162.75278
61.97742,-173.72584
61.99975,-175.14519
57.64486,-163.36839
57.30759,-158.43212
57.65115,-160.88159
60.16601,-173.00184
60.9976,-172.13139
57.32085,-158.42136
57.67797,-165.24953
57.68146,-162.76629
57.98641,-164.00539
58.66275,-165.93449
58.66465,-162.70779
59.34489,-170.54374
59.82664,-172.26592
60.99869,-172.79548
57.32484,-163.38936
57.3252,-159.06668
57.6833,-162.12949
57.98759,-161.47647
58.66692,-166.55499
59.34575,-169.86421
60.3082,-173.38316
60.3134,-171.37794
57.00805,-164.59742
57.68752,-167.13117
57.98945,-166.5183
58.3461,-162.72035
60.31523,-168.68445
61.6493,-174.43194
57.32591,-161.54487
57.32646,-164.00303
57.99013,-158.3154
58.34877,-167.18452
58.97798,-166.58572
58.97979,-163.33881
59.65022,-168.61969
59.65148,-166.62566
59.97123,-168.6693
59.98769,-169.31261
60.33096,-169.99751
61.65299,-173.66948
59.36051,-167.26599
59.65252,-169.26313
59.99476,-172.60651
60.33246,-169.31556
60.33251,-170.62602
57.99174,-160.86125
58.67717,-169.79243
59.66454,-171.23274
61.31578,-173.57913
61.31744,-174.33065
57.65101,-166.50271
57.99322,-158.97341
58.29198,-159.97723
58.67822,-170.43428
58.98739,-168.52628
58.9906,-165.93324
59.99828,-171.33779
60.00137,-173.24702
60.33772,-167.24212
60.33873,-167.97276
59.66666,-171.87318
60.34756,-172.0643
57.34115,-162.75783
57.81445,-168.72489
58.00087,-162.08716
58.3179,-162.04378
58.68135,-165.2932
59.00338,-169.18725
60.01282,-170.59946
60.65147,-171.42433
56.67677,-159.72109
56.98072,-159.15196
57.34152,-164.62176
57.34284,-159.66922
57.65703,-163.39261
58.00438,-165.25668
58.00469,-159.66098
58.00647,-160.22813
58.3193,-160.74484
58.32038,-163.3598
58.68384,-167.18453
59.67568,-169.94092
59.67952,-167.95506
60.01318,-171.98205
60.01539,-169.94568
57.34658,-165.23004
57.65801,-161.51328
58.00725,-169.03571
58.32166,-168.46385
58.32255,-165.9087
58.68959,-164.01307
59.00524,-163.97883
59.0073,-164.66338
59.30613,-166.59569
59.31459,-168.57235
59.68387,-170.60782
60.65755,-173.46451
56.98881,-164.0341
57.66152,-159.01978
58.01082,-167.16097
58.32359,-169.74927
59.01041,-167.90951
59.31584,-164.01178
60.02923,-167.99236
60.66721,-172.12779
60.67095,-172.76004
57.66293,-159.64901
58.01239,-164.61759
58.32382,-166.54319
58.64916,-168.49624
59.0105,-169.83385
59.32252,-171.15121
57.66892,-164.62179
58.01696,-162.75418
58.32778,-164.01279
58.65443,-169.15443
58.65728,-163.36075
59.01258,-170.48169
59.32308,-169.24156
58.33031,-164.62501
58.33359,-169.14533
59.33375,-167.92113
60.1536,-172.30686
60.97527,-171.48083
60.98194,-174.17791
60.98635,-173.49729
57.67621,-160.27017
58.33729,-165.28984
58.33732,-161.41009
58.66145,-164.63296
59.02246,-167.24128
59.02462,-165.30053
59.3378,-165.30185
61.00056,-172.11071
61.0006,-174.15233
61.31783,-173.58192
61.34343,-174.33326
61.65301,-173.66185
61.66522,-174.47323
61.66555,-175.79644
60.63938,-171.43242
60.64473,-172.71795
61.99854,-174.48651
61.99956,-173.69897
60.66796,-175.42856
60.68412,-172.11578
60.96583,-171.4938
60.98435,-172.79865
60.994,-173.46778
59.6448,-169.26841
60.32428,-172.05748
57.99614,-164.62328
58.33143,-164.61882
59.33171,-169.23904
59.97842,-171.94344
59.9826,-170.63562
60.32709,-171.31289
60.3277,-174.08209
60.33404,-169.99049
57.99794,-165.89732
57.9995,-160.8396
58.33423,-166.55549
58.98438,-171.77906
59.64971,-165.96361
59.98487,-169.32033
59.98689,-173.92622
58.00535,-165.27337
58.64714,-165.92407
59.6515,-171.89753
57.68723,-160.8823
58.34257,-165.90159
58.34659,-163.99598
58.98996,-164.6384
58.99097,-169.17231
58.9937,-163.39404
59.34325,-168.5791
59.65239,-175.13579
59.65537,-167.27271
59.6575,-173.25711
58.01361,-163.33655
58.65249,-162.69363
59.34383,-169.8739
59.65968,-168.63604
56.98209,-159.68229
58.34983,-165.27875
58.65284,-163.33058
59.35021,-163.99577
59.35141,-167.91066
59.66774,-173.84408
59.66815,-166.59551
60.01491,-168.64736
60.34717,-168.6528
59.67063,-172.53383
59.67681,-167.97124
60.01992,-168.01469
57.30755,-159.07616
58.2183,-161.54875
58.65915,-166.55525
58.65998,-165.32301
59.00045,-167.87029
59.67801,-175.87676
59.68197,-169.92464
60.02011,-169.96849
60.13342,-173.77028
57.96511,-161.51197
57.97504,-160.22958
58.26775,-159.95604
58.664,-164.03442
