LATITUDE,LONGITUDE
58.97937,-173.70451
57.01555,-160.33359
57.31682,-159.09144
58.3218,-165.28095
58.67924,-168.50355
58.67975,-162.71953
58.98162,-163.34131
58.9831,-165.3052
59.33258,-171.80527
57.68633,-166.50175
58.68155,-165.92569
58.68196,-171.08437
58.98581,-164.63887
58.9871,-173.08721
57.98861,-168.42708
58.3224,-164.64029
58.68797,-169.15304
58.98898,-167.87604
59.33563,-171.19122
56.97562,-159.14222
57.98922,-163.38046
59.35179,-166.61571
59.6544,-169.91512
57.32491,-158.41335
57.99365,-158.98267
58.32782,-172.29541
59.35418,-164.01318
59.35537,-173.81325
58.99898,-166.60661
56.64779,-162.77401
57.34165,-162.15388
57.34202,-162.76593
57.65249,-161.47189
57.65321,-169.62623
57.84472,-168.7472
58.00562,-169.09886
58.3439,-171.65524
59.62742,-165.9272
57.65399,-167.76147
58.23322,-161.55538
58.34419,-162.71306
58.34618,-168.47722
58.34624,-163.9906
57.65673,-159.02884
58.34862,-166.55767
58.65286,-167.21233
59.00991,-171.78962
57.34857,-172.10407
58.01244,-162.11813
58.01504,-165.90303
58.29341,-159.98004
58.65362,-167.85825
59.0128,-168.54994
59.48089,-173.50303
57.66076,-158.36124
58.3567,-169.12391
59.30905,-165.95651
59.31312,-164.65696
57.66358,-168.38627
59.01451,-164.00074
59.31548,-167.90268
59.31935,-165.32014
57.67337,-162.74425
58.02298,-162.74502
58.31745,-162.04287
58.66516,-173.00894
59.32349,-172.48663
59.3243,-173.16511
57.67389,-165.88237
57.98209,-167.79551
57.98256,-164.6063
58.32116,-167.18495
58.32117,-167.83637
58.67157,-166.55962
59.02378,-172.4501
59.32819,-174.43954
56.67717,-164.01735
57.67832,-169.06436
58.32143,-170.37039
59.36955,-167.91747
58.99714,-163.94994
59.48663,-172.85801
60.68099,-172.77613
60.96967,-171.50223
56.34301,-160.99652
59.00673,-169.83422
61.00011,-174.12369
60.15264,-172.30175
61.00352,-175.49434
58.66165,-163.35078
59.03053,-170.48377
59.66807,-166.59768
59.67498,-167.92036
60.32028,-171.32978
61.32638,-175.61935
61.34009,-176.28168
60.33194,-167.29916
61.65626,-175.08224
59.68257,-165.91306
60.33318,-168.63098
61.67577,-176.4672
58.67451,-170.43364
60.33332,-169.99464
60.33342,-167.93915
61.68069,-175.78652
61.98899,-175.14447
59.31916,-164.02837
62.00545,-175.81741
59.33544,-170.53222
60.6631,-175.48833
57.32274,-159.0649
57.67653,-159.62787
57.01005,-159.67703
